Estación,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13070040,0,1,51,45,31,41,26,97,44,73,67,59,100,2,82,84,27,37,30,6,39,26,76,69,62,55,7,19,87,1,96,34,8,41,29,10,58,64,44,87,54,66,82,75,14,44,21,6,91,40,100,23
13070050,21,65,31,9,81,77,90,64,10,15,95,34,3,37,44,20,90,16,57,70,66,15,73,22,9,5,42,100,22,45,18,61,25,78,48,62,4,42,86,75,82,2,98,24,3,7,57,28,42,38,24,75
13070070,0,0,94,8,79,28,99,11,68,4,57,24,53,65,33,74,41,61,8,100,13,32,8,60,26,55,22,38,85,80,73,66,80,94,12,89,95,79,35,37,17,20,59,53,46,61,28,92,78,0,61,68
13070080,100,32,48,1,42,64,61,60,57,41,70,89,92,74,85,27,91,47,20,64,63,59,72,34,91,2,77,89,84,94,26,2,72,96,48,52,16,71,36,56,69,66,99,69,82,24,78,28,85,96,5,18
13070090,0,69,72,65,65,60,96,2,4,96,89,54,4,37,48,27,67,67,91,98,67,7,0,93,56,60,39,6,32,56,0,80,33,47,87,33,73,92,75,19,58,14,89,80,59,13,29,29,35,62,59,45
13070100,0,32,63,15,8,100,35,21,18,41,38,66,36,49,88,75,17,84,4,91,24,46,43,42,30,38,61,70,57,51,63,20,73,13,79,96,22,12,18,94,50,62,33,43,62,53,96,61,63,43,80,13
13070110,8,26,2,82,22,34,57,42,87,76,89,56,95,20,30,4,37,50,38,69,45,51,78,94,59,74,54,33,87,17,2,72,51,27,31,58,26,67,54,43,12,29,100,83,51,30,60,26,98,94,43,77
13070120,0,37,81,47,87,90,93,80,90,11,65,18,88,55,42,83,58,89,54,98,7,92,14,0,100,40,35,31,18,38,22,34,77,43,81,47,90,80,76,14,65,98,20,100,13,6,10,50,14,57,0,42
13070130,100,0,16,70,49,79,55,14,13,6,18,96,76,65,5,72,98,4,81,60,90,16,48,99,78,55,71,38,54,80,85,70,94,72,96,27,4,10,37,51,27,34,22,54,37,61,75,18,98,81,78,77
13070140,100,52,31,51,17,60,54,87,99,69,82,36,11,19,9,36,53,29,62,12,66,79,75,61,72,92,7,89,88,89,8,42,17,48,13,64,41,60,74,41,69,68,79,79,72,85,88,81,33,62,27,94
13070150,100,64,72,88,81,18,72,49,40,17,74,10,67,43,75,1,43,83,99,52,31,83,97,26,93,71,76,55,35,25,72,31,41,64,65,2,59,72,4,58,22,75,92,95,99,34,31,32,25,26,48,72
13070160,100,13,22,79,53,7,50,70,34,56,66,79,94,59,15,81,91,33,60,29,5,36,36,46,58,28,39,4,60,73,69,66,9,86,18,69,98,38,4,8,25,53,40,36,35,39,53,95,39,68,58,10
13070170,100,8,61,37,2,74,90,81,70,11,13,95,95,23,37,43,19,36,53,69,63,50,53,94,8,77,3,70,22,100,18,5,2,51,58,35,73,29,44,73,46,90,28,85,98,70,18,78,2,96,9,33
13070180,100,97,93,3,73,24,28,7,4,27,50,57,44,87,30,73,86,62,4,70,13,87,7,29,91,26,22,9,62,18,70,37,50,93,19,77,50,67,94,62,1,83,86,36,7,17,22,87,66,32,72,26
13070190,100,92,41,68,8,87,16,57,48,63,81,35,91,65,81,21,3,89,20,97,36,30,43,23,14,80,73,61,54,83,70,2,86,57,70,12,12,82,0,40,30,30,50,100,70,55,63,50,46,95,64,80
13070200,100,55,91,59,71,52,72,99,2,14,85,84,54,1,34,23,40,53,41,61,41,84,95,65,64,87,84,23,3,18,86,23,28,8,51,17,34,31,63,77,46,71,86,53,91,64,89,3,97,49,66,43
13070210,100,90,63,11,25,18,21,88,67,15,34,75,2,79,69,74,92,60,99,1,68,47,51,13,26,8,61,4,54,24,27,68,22,44,67,53,84,47,75,82,71,23,65,7,10,30,24,47,32,16,29,64
13070220,100,28,25,48,32,42,23,66,79,33,82,79,69,11,61,5,81,14,48,76,45,21,15,62,58,48,44,43,7,48,91,71,45,12,88,83,85,98,38,20,10,43,28,71,50,24,48,68,98,65,80,73
13070230,100,61,47,70,67,93,86,1,73,100,12,18,95,99,39,26,59,48,28,66,82,52,81,55,24,84,79,8,47,26,15,96,35,1,38,48,24,94,4,46,89,29,5,58,0,88,84,17,82,3,26,87
13070240,100,97,9,19,82,2,25,59,37,50,43,39,59,62,77,42,99,85,85,5,0,16,1,25,19,80,29,100,11,75,4,61,28,68,84,22,93,42,69,8,78,92,10,85,41,7,50,26,2,81,48,51
13070250,100,63,7,43,41,24,3,20,73,66,53,80,76,89,99,97,23,93,6,36,100,52,45,49,9,43,65,65,66,43,60,74,5,96,73,85,28,92,22,98,45,46,25,66,15,86,85,55,65,62,72,4
13070260,100,37,57,81,77,87,71,56,26,16,4,14,100,43,19,37,13,57,69,79,36,56,84,74,82,67,64,87,6,6,97,89,55,5,35,64,7,64,49,79,66,49,89,76,69,34,38,17,16,96,52,82
13070270,100,78,19,76,24,44,95,37,3,57,47,50,90,33,60,100,64,4,86,77,4,71,50,67,19,29,0,36,22,33,24,53,67,40,60,83,56,100,65,80,69,2,39,6,33,9,19,42,63,36,32,45
13070280,100,55,18,41,64,10,58,54,66,97,51,98,68,67,37,53,21,97,3,27,94,33,26,18,68,35,34,58,43,91,64,93,60,76,15,6,98,0,43,14,46,23,32,46,73,40,56,49,14,87,81,96
13070290,100,97,62,78,72,59,8,1,4,71,13,24,34,24,29,44,44,48,26,31,71,98,38,81,47,1,0,97,84,80,28,31,10,51,33,27,61,36,84,36,77,89,60,10,74,91,3,12,9,94,16,39
13070300,0,63,12,11,9,95,17,51,35,37,81,20,69,75,52,82,32,2,62,85,20,65,4,20,88,38,96,45,15,14,84,95,74,54,47,85,53,93,71,78,24,68,94,26,77,54,33,49,20,56,4,74
13070310,71,99,62,18,48,41,42,80,36,88,55,85,96,79,66,85,88,15,81,9,2,3,55,48,52,18,58,55,65,77,50,61,90,8,86,91,0,31,7,40,88,44,57,53,43,31,88,75,93,5,87,9
13070330,100,80,59,47,97,93,92,87,72,42,4,99,99,77,47,35,42,16,60,59,56,41,71,72,88,81,80,80,15,21,99,11,92,45,21,53,78,21,61,62,62,96,64,79,94,72,73,77,56,36,23,73
13070340,100,29,96,9,76,42,19,9,49,94,47,50,55,67,49,63,79,52,8,48,77,19,97,26,83,35,2,29,52,12,34,44,54,56,52,79,60,72,14,55,11,85,18,14,46,59,21,55,91,64,75,70
13070390,100,95,47,30,40,90,26,76,57,30,100,39,83,70,71,40,53,9,9,94,43,39,10,42,18,98,52,50,74,33,90,92,83,76,92,18,24,99,31,32,32,62,12,54,95,9,79,94,74,26,3,33
13070420,100,57,87,80,6,47,77,90,66,7,74,16,17,20,24,6,47,76,23,57,32,74,90,54,97,51,2,13,87,99,8,31,36,12,53,23,36,77,39,83,48,13,1,11,33,95,14,28,25,48,34,68
13070440,100,70,94,44,27,12,98,7,30,34,37,58,10,80,63,70,11,50,92,78,87,10,70,17,46,90,69,99,49,44,30,74,12,76,43,59,100,79,70,24,0,54,19,32,39,15,81,72,62,55,84,82
13075010,100,48,28,67,96,48,27,47,61,54,92,45,88,0,68,95,0,78,30,80,50,3,36,71,25,67,34,50,84,81,93,63,62,29,83,16,6,7,70,45,79,42,83,95,65,64,88,86,27,8,7,4
13075020,1,66,51,51,52,99,8,69,92,75,5,7,14,92,17,31,63,32,34,89,48,72,57,41,88,3,97,100,64,43,11,14,71,82,61,37,78,93,59,100,2,69,47,77,16,46,12,63,93,58,25,41
13075030,51,90,32,73,14,93,19,22,27,54,21,59,62,45,72,65,52,95,75,24,65,7,6,3,39,96,25,4,47,67,28,64,60,46,9,62,5,97,6,63,80,49,25,30,66,62,49,45,42,21,77,89
13075040,1,52,86,35,45,43,67,26,62,63,46,16,28,85,88,0,15,98,25,1,5,42,42,28,58,34,74,68,83,48,78,5,82,10,98,40,30,63,39,29,70,86,53,80,70,9,100,80,19,64,43,18
13075050,100,57,34,100,66,86,50,93,19,99,8,4,93,33,39,14,33,46,88,32,72,61,79,91,87,73,66,18,22,12,98,43,43,77,64,81,46,90,3,78,21,87,17,2,23,23,10,46,59,26,79,36
13075060,22,88,73,83,32,12,12,27,98,46,52,13,84,22,93,55,72,11,55,95,6,77,26,86,21,36,2,82,89,77,67,57,98,65,7,82,98,23,94,4,37,91,56,49,63,39,44,97,64,77,57,74
13077070,0,10,37,30,57,13,77,17,60,73,55,80,76,89,91,73,10,91,94,59,25,39,15,35,62,56,68,23,75,15,18,5,14,0,44,17,37,17,61,73,61,55,58,0,85,95,80,78,100,26,19,12
13080010,0,60,81,67,64,63,5,84,85,7,81,21,23,30,94,63,47,53,43,48,66,64,88,87,57,5,41,96,38,4,55,45,50,91,22,99,89,68,8,77,76,18,85,63,81,30,43,1,81,21,48,41
13080020,0,67,2,21,88,17,85,34,38,57,44,39,60,54,56,85,57,68,97,91,16,80,37,97,42,64,9,59,40,82,73,52,1,73,85,41,52,21,98,17,38,92,62,14,34,82,52,65,74,60,10,78
13080030,100,21,70,1,37,61,20,98,40,52,75,61,15,58,0,3,84,17,13,0,33,22,57,77,63,73,61,12,5,96,76,15,28,35,24,15,29,43,62,42,48,86,0,55,98,71,14,13,95,11,76,41
13080060,75,84,24,36,15,56,98,78,91,8,14,17,8,94,64,13,18,48,62,78,58,96,74,16,29,12,99,19,41,20,53,36,33,69,76,56,97,62,18,78,1,21,63,33,18,15,49,8,58,32,42,7
13085010,1,5,89,100,96,21,28,17,31,98,77,82,31,99,38,69,82,77,1,93,19,62,0,80,37,33,57,40,80,37,89,60,73,100,96,83,14,26,13,9,22,13,16,69,62,55,42,75,72,95,8,47
13085030,33,90,55,21,35,73,16,96,33,76,2,45,86,89,79,34,74,66,28,18,98,38,80,67,47,97,93,90,90,76,46,10,7,30,91,60,49,53,30,73,72,72,56,88,91,90,10,96,93,28,35,9
13085050,0,53,76,99,57,66,79,96,99,25,69,11,39,39,33,8,1,61,78,81,61,0,29,94,13,95,44,38,11,53,95,60,61,66,81,63,76,94,84,23,80,94,33,100,40,97,48,32,42,65,6,41
16050140,100,90,83,9,6,29,29,0,52,40,47,60,55,56,92,95,37,64,33,32,2,55,99,49,34,58,94,27,74,71,44,13,67,92,88,87,57,70,37,26,6,56,22,23,56,47,96,68,67,68,27,97
21210020,100,37,34,60,33,53,50,36,93,30,83,76,27,29,93,36,15,35,58,25,39,58,61,87,78,6,63,75,25,96,24,91,33,18,37,41,20,60,87,52,55,60,87,4,71,13,54,95,6,78,90,100
21210100,100,58,74,53,69,16,87,0,94,84,21,63,16,49,32,1,65,72,74,89,2,96,86,79,42,28,28,14,37,45,51,54,71,36,85,92,68,24,61,8,94,17,27,94,33,26,96,44,1,25,35,20
21210110,100,20,8,4,17,86,20,54,7,100,36,1,80,85,24,64,7,19,90,25,18,32,52,18,82,12,64,58,46,96,52,4,58,0,11,85,99,17,95,44,9,51,31,32,62,15,58,24,42,65,75,87
21210220,100,59,89,68,11,53,87,69,93,74,0,14,83,23,16,100,70,8,56,45,49,73,54,83,50,63,12,22,82,2,88,35,24,31,5,6,63,65,45,45,1,62,62,48,55,82,98,91,63,73,22,2
21210260,100,51,55,92,89,88,4,92,34,23,56,3,46,73,56,57,47,91,91,87,97,77,2,45,86,26,5,35,38,29,69,23,76,79,56,83,78,66,8,95,15,58,87,29,81,33,90,16,96,35,58,18
21230070,100,92,5,73,61,37,67,27,36,86,55,85,98,54,95,9,9,41,80,49,8,16,66,88,67,50,60,83,43,92,74,59,29,42,99,99,100,47,86,19,94,100,49,33,16,49,25,65,58,57,57,43
21230090,100,27,91,44,82,68,68,89,88,31,71,20,0,17,30,26,24,15,48,70,71,68,73,51,2,83,97,63,5,32,95,37,3,23,50,53,30,13,40,82,29,63,52,54,97,61,81,61,12,23,93,92
21230120,100,28,70,99,92,7,21,38,24,21,6,48,52,29,61,88,79,81,87,64,20,3,0,87,81,60,18,41,40,13,63,67,43,0,39,94,44,48,17,31,99,98,71,20,80,27,30,97,76,79,27,51
21240040,0,11,21,61,27,44,39,59,92,42,99,64,92,95,0,0,97,7,50,19,41,27,21,51,44,74,28,81,34,77,90,83,8,75,94,82,61,1,85,88,39,90,34,9,43,65,32,74,14,43,91,87
21240070,100,19,99,26,5,60,75,14,59,8,18,78,45,99,25,32,8,86,11,55,57,41,88,98,84,81,81,14,11,98,20,92,12,14,20,0,27,41,47,38,27,69,55,78,77,47,95,9,81,9,74,26
21240110,100,83,79,90,19,99,41,97,6,63,39,46,21,48,63,68,72,52,79,20,2,89,5,18,35,1,30,96,48,51,47,38,31,69,46,65,76,45,59,88,81,5,71,27,91,13,49,80,45,11,53,48
21245050,100,37,30,45,98,76,53,60,56,52,76,82,71,39,70,10,25,80,56,96,39,38,34,82,15,51,74,50,100,36,46,69,53,22,49,92,94,82,8,3,9,11,15,51,49,34,65,29,81,74,64,41
21245070,100,43,66,50,60,12,43,8,90,0,20,87,43,91,32,46,2,42,45,49,89,70,82,63,67,32,73,93,56,86,100,5,15,99,100,39,22,23,43,56,72,38,65,42,85,98,81,80,73,25,5,22
21245090,100,80,30,98,11,4,98,23,56,13,37,36,79,55,59,64,78,94,94,77,66,36,21,16,15,90,12,19,20,7,3,53,73,23,94,32,77,73,78,93,61,2,13,84,32,5,5,46,12,65,8,60
21245100,100,14,14,37,70,17,46,40,93,68,71,14,54,97,94,3,17,12,25,26,19,72,2,53,44,11,64,6,84,27,70,83,39,87,83,69,10,79,17,97,87,66,9,49,25,19,69,62,75,43,59,99
21245120,100,81,50,100,44,82,75,91,5,87,6,7,94,63,13,30,32,24,64,27,71,47,44,67,88,51,74,73,90,90,91,75,88,28,30,24,100,70,30,63,53,32,72,71,81,67,63,12,13,80,22,66
21245140,100,86,99,95,68,45,11,53,98,26,64,29,62,51,68,78,84,74,80,91,10,54,84,77,86,28,8,23,91,41,31,37,50,46,43,63,66,94,62,88,3,71,23,73,17,2,25,62,97,46,27,44
21250050,100,48,34,44,34,15,92,42,62,1,42,92,11,87,30,68,24,14,95,52,62,19,31,28,51,21,44,41,27,91,24,62,85,70,99,65,7,84,3,23,94,6,26,29,41,65,50,34,44,97,64,93
21250060,0,73,60,69,66,78,28,45,24,91,7,31,86,33,8,48,75,96,35,41,2,82,48,65,44,42,22,66,8,88,75,15,21,85,14,0,70,33,25,55,46,88,68,57,57,0,100,97,83,3,13,4
21250070,100,82,8,5,28,14,81,23,36,46,22,39,52,69,71,68,15,86,72,40,81,56,25,89,99,9,80,28,48,98,38,4,55,62,38,5,22,79,91,69,8,91,3,20,85,35,96,17,41,1,90,47
21250100,100,46,3,27,49,69,49,62,55,82,72,1,89,62,3,90,94,6,89,6,21,12,39,83,62,1,42,93,22,76,40,69,86,55,95,73,72,41,80,24,25,2,56,22,51,28,34,84,2,74,97,83
21250120,0,83,70,67,15,63,85,5,81,7,2,15,98,97,40,83,23,26,19,42,66,64,27,60,82,80,77,73,63,5,8,34,75,17,46,6,40,15,59,59,62,65,48,88,16,55,20,1,11,44,17,60
21250150,0,22,3,14,98,84,54,27,30,23,16,33,37,27,33,61,74,91,41,74,87,88,81,96,67,19,15,39,13,6,72,21,53,66,22,62,76,78,99,51,18,94,87,52,56,56,41,50,74,33,81,54
21250170,100,88,67,63,34,46,43,69,64,55,95,38,72,4,54,24,76,92,3,0,35,100,34,47,17,53,39,34,57,56,100,37,89,69,89,16,81,98,87,19,42,9,36,64,41,94,71,91,72,85,35,89
21250190,0,50,16,36,86,81,94,1,38,17,58,88,27,68,7,26,18,42,11,51,44,20,98,38,67,60,76,97,6,7,78,93,31,24,0,33,16,46,49,55,32,8,9,80,96,89,52,12,35,20,4,51
21250310,59,4,85,0,20,21,95,92,1,44,22,25,31,19,62,51,58,33,1,0,71,84,87,2,14,10,1,95,31,64,13,84,33,60,63,69,84,48,91,3,100,33,28,15,58,38,62,19,71,40,52,2
21250350,8,54,21,14,5,56,36,39,82,22,89,65,72,83,64,4,94,88,36,79,19,34,4,68,99,77,17,46,94,27,77,71,59,99,67,94,3,88,80,93,49,51,29,79,74,89,56,70,5,5,92,12
21250360,0,46,49,43,70,70,56,78,76,73,15,81,84,1,12,29,96,52,2,35,58,81,54,58,61,72,82,95,62,75,31,7,17,91,33,34,62,63,27,84,97,93,78,97,9,29,96,35,90,42,45,35
21250370,0,37,16,83,11,76,77,46,10,23,16,5,32,65,39,49,62,91,58,57,89,90,5,97,11,66,44,21,29,14,24,47,38,69,96,61,0,16,77,47,86,33,16,26,76,95,74,70,41,90,49,59
21250410,100,14,81,46,23,27,40,23,46,79,52,100,52,80,95,70,26,66,9,19,29,25,11,34,52,32,69,29,52,59,72,89,55,41,82,23,36,9,34,24,58,54,64,74,54,57,23,63,3,70,99,16
21250430,0,50,30,9,13,90,70,48,17,56,7,88,2,43,86,9,42,93,72,22,27,60,36,15,67,83,76,65,92,22,82,27,26,55,62,38,71,72,85,88,68,57,27,10,7,6,88,44,27,51,24,20
21250440,23,65,8,52,95,7,98,10,6,19,48,23,56,5,47,88,41,74,49,5,91,87,100,83,3,45,86,100,23,43,77,52,8,48,99,1,95,7,3,14,2,25,48,18,31,60,28,81,34,0,40,83
21250450,100,32,47,14,30,9,61,37,70,86,24,0,77,88,13,81,95,9,90,43,80,49,64,3,83,10,67,47,85,99,65,1,99,85,52,19,6,38,14,70,21,65,41,47,81,4,64,88,0,95,18,3
21250460,100,68,28,65,45,62,82,68,3,78,90,31,71,27,3,10,45,98,68,17,48,84,57,70,67,51,39,5,47,2,100,70,19,53,41,32,72,78,82,72,85,27,83,82,12,100,42,21,37,5,58,61
21250480,100,66,49,14,8,1,94,7,8,40,32,6,35,48,81,31,48,88,81,74,90,50,20,21,14,37,3,83,33,53,63,36,86,92,81,22,77,16,19,86,63,76,32,45,39,65,24,61,58,56,5,52
21250500,0,5,15,25,36,39,45,42,39,62,95,58,99,64,85,98,14,42,82,24,24,19,41,50,60,56,67,19,53,18,100,84,27,80,23,97,39,66,8,49,52,33,99,80,66,69,60,38,79,21,99,89
21250510,100,53,80,46,99,28,95,60,75,15,61,2,3,18,33,15,28,32,8,75,42,78,80,100,14,7,21,89,17,30,36,20,30,42,60,62,79,47,88,3,78,97,73,42,2,9,22,93,41,61,27,40
21250530,100,2,99,83,79,94,33,15,26,22,96,66,39,46,35,78,91,68,73,76,18,30,24,99,21,44,84,37,53,46,73,76,78,98,64,6,3,10,23,18,19,33,26,53,10,58,73,43,96,39,90,57
21250540,100,97,46,37,30,59,100,79,53,46,86,55,95,81,86,26,73,10,61,1,81,10,74,61,57,6,38,89,82,75,14,97,16,14,100,56,94,37,39,18,71,34,77,57,77,99,94,80,90,76,18,19
21250550,100,63,60,44,80,50,62,91,71,94,90,2,23,73,43,93,49,84,50,65,55,75,97,93,4,79,78,55,21,37,17,32,44,35,55,31,75,85,3,58,90,0,17,97,12,80,15,44,37,26,20,41
21250560,100,85,82,81,30,98,13,94,12,23,56,32,26,36,64,93,83,88,0,15,96,38,82,58,44,28,41,19,73,63,68,8,49,85,17,71,40,78,8,20,1,81,4,48,61,31,65,51,50,31,17,81
21250570,100,21,30,16,14,37,71,59,61,55,78,71,74,39,77,33,19,42,39,35,62,36,59,80,26,76,72,85,22,52,31,75,17,41,69,39,15,41,56,24,64,57,32,10,55,97,77,75,86,52,82,48
21250580,100,4,55,79,36,14,58,84,78,91,17,9,22,55,16,58,53,40,73,60,12,80,96,82,90,11,34,99,91,33,46,52,42,45,32,75,64,72,45,14,14,73,12,88,32,31,86,70,66,1,34,85
21250590,100,69,18,88,0,8,94,38,13,18,48,34,3,54,71,74,16,2,12,97,2,15,29,30,13,37,59,53,53,69,36,1,79,83,96,63,32,96,26,39,96,35,51,15,39,69,48,5,0,79,87,66
21250600,100,31,98,51,56,29,49,15,16,6,84,24,93,94,36,9,53,20,34,74,17,97,40,66,77,73,83,69,92,87,0,13,9,100,29,29,46,12,53,16,49,71,52,38,13,47,46,70,66,37,49,93
21250610,100,52,53,76,48,96,88,0,57,71,47,28,1,71,10,78,31,51,0,70,81,100,50,29,8,7,4,90,60,10,40,33,22,63,79,56,62,91,89,94,70,60,51,77,70,86,53,19,2,100,0,80
21250620,100,100,89,69,33,36,36,65,5,48,61,78,58,64,4,92,81,13,78,18,45,11,28,94,60,47,44,56,26,60,94,84,98,81,0,7,83,39,83,82,94,90,100,86,21,7,17,40,99,20,30,42
21250630,100,24,23,69,54,52,86,92,72,14,80,17,9,11,55,81,49,34,32,68,34,51,67,60,25,42,92,88,61,31,67,21,0,16,56,100,40,16,82,29,98,99,30,7,84,38,54,47,39,87,97,71
21250640,100,99,53,4,76,92,40,70,22,15,45,30,25,38,31,34,85,28,71,75,78,2,96,24,65,5,27,11,23,20,30,51,55,58,37,48,62,11,45,20,75,61,58,70,51,92,4,75,88,95,17,25
21255070,100,94,7,56,26,25,48,6,76,65,46,48,61,2,83,89,90,6,5,28,88,18,45,61,27,43,35,63,69,72,59,38,17,94,58,83,51,65,81,76,0,69,8,24,78,55,85,38,17,31,54,13
21255080,0,29,70,10,76,79,59,69,64,16,97,1,40,97,9,52,93,56,21,65,51,44,96,29,82,75,76,99,85,7,91,1,1,42,84,89,77,19,86,42,90,22,44,28,41,44,21,73,69,81,52,65
21255090,100,93,48,75,23,84,10,4,2,47,86,56,16,32,72,26,56,57,63,90,86,85,89,66,45,24,12,5,5,36,39,9,81,96,22,55,3,35,62,52,45,43,36,77,92,83,76,55,34,86,15,14
21255110,100,43,13,41,7,23,36,55,66,21,64,91,70,71,76,94,23,97,29,79,35,48,1,43,23,49,53,56,55,13,36,67,16,73,38,41,81,70,12,53,96,93,94,15,1,99,25,18,56,16,50,46
21255120,100,27,64,62,85,44,54,3,82,84,40,57,26,9,42,43,97,67,24,34,84,17,64,93,59,15,45,80,34,34,4,17,81,74,90,3,86,97,6,83,62,87,14,46,22,63,54,69,37,65,79,86
21255140,100,62,14,71,95,75,17,30,1,23,17,34,48,41,42,47,50,2,27,97,73,83,5,98,14,81,81,14,85,97,94,67,34,9,20,96,37,78,27,61,50,67,77,73,47,70,90,32,76,90,13,7
21255150,100,98,20,6,61,56,41,38,24,78,55,61,64,20,78,9,87,97,35,21,18,3,13,61,8,1,30,71,47,24,34,76,11,91,41,60,0,41,81,9,50,29,66,7,27,94,73,75,40,33,23,70
21255170,33,79,45,62,39,92,95,75,1,95,91,24,28,18,11,25,68,21,74,37,54,53,34,28,14,65,9,52,72,58,68,64,77,92,44,14,64,97,45,84,31,7,38,48,44,56,27,24,2,70,86,81
22050100,100,59,8,92,78,54,73,9,32,93,63,1,58,35,48,88,44,57,90,53,89,70,55,56,39,4,72,88,79,82,95,27,18,80,22,35,44,21,37,52,68,61,90,37,6,7,62,1,68,24,0,20
23010020,0,6,46,12,55,97,39,66,71,49,52,51,96,86,89,80,93,35,1,77,66,8,96,92,89,86,23,26,45,2,26,48,59,46,89,28,71,71,0,2,68,24,85,5,28,92,27,23,34,60,3,83
23010070,0,56,29,79,86,60,89,70,93,100,87,56,69,39,38,18,59,86,100,28,7,56,91,26,66,6,86,28,58,50,65,5,61,90,90,80,5,1,89,18,8,61,31,45,47,41,78,72,59,39,82,95
23010080,0,85,78,30,60,26,91,32,20,2,49,22,35,78,20,58,20,23,64,30,70,20,40,89,62,73,69,83,98,0,12,97,82,52,100,19,21,65,55,58,63,39,83,95,77,62,86,7,8,1,39,10
23010110,100,28,13,36,9,53,53,46,39,53,97,71,77,66,68,53,83,47,53,93,6,77,91,87,10,23,3,20,86,65,53,32,73,41,66,71,76,90,59,84,25,66,45,89,12,25,21,48,5,78,46,61
23015040,100,66,76,35,64,58,7,85,3,16,87,6,84,61,3,69,8,1,95,47,78,41,26,24,46,17,66,36,49,91,34,84,80,67,23,60,30,80,100,48,89,29,33,16,64,60,72,79,64,41,82,10
23020080,100,17,75,85,7,93,37,87,39,7,7,19,85,5,7,14,22,17,30,37,27,77,70,45,55,67,95,88,3,57,98,10,43,6,12,22,25,43,47,29,68,84,63,80,46,45,18,14,27,81,46,49
23020090,100,98,99,47,28,71,24,38,79,18,22,41,99,69,44,64,40,66,8,62,78,78,99,10,20,6,1,24,43,20,48,41,51,58,60,0,44,0,86,84,3,86,100,0,46,80,13,63,59,48,11,41
23020100,100,62,48,42,92,76,64,62,2,82,71,62,3,43,100,86,82,28,75,1,44,10,61,4,42,39,22,88,18,71,64,91,82,77,90,97,94,21,92,4,23,24,73,67,96,46,80,1,99,98,77,19
23025020,92,1,68,8,31,63,100,66,80,6,76,90,93,92,62,78,48,21,0,79,45,62,49,55,4,75,74,95,58,28,3,90,12,98,68,31,35,38,55,54,100,60,93,5,20,16,0,23,33,40,40,29
23025040,100,23,46,29,71,83,26,2,29,96,38,29,61,64,13,84,69,53,63,68,8,11,76,18,62,41,46,94,36,2,68,45,48,89,45,58,98,51,43,10,24,38,4,70,0,53,63,47,70,56,78,76
23030010,0,29,39,29,33,19,42,57,45,77,64,60,87,100,77,19,72,15,99,22,37,80,59,42,39,76,35,56,52,51,96,34,11,70,69,39,78,42,31,37,61,57,54,60,37,15,8,72,95,80,24,11
23035020,100,38,74,37,58,81,41,97,63,12,80,9,22,90,17,6,17,40,33,46,39,42,95,60,89,56,72,100,87,29,73,15,26,19,22,50,65,92,67,100,65,92,31,76,17,85,23,34,30,43,27,47
23040030,25,4,58,74,20,17,90,13,13,26,45,21,30,44,84,73,54,56,99,70,93,94,61,24,10,33,96,19,53,33,36,79,5,4,96,99,29,66,35,99,21,58,99,38,53,33,87,29,79,62,47,17
23040050,33,54,9,21,17,25,58,34,4,18,84,87,67,6,87,89,1,98,33,0,14,56,0,66,20,46,40,69,3,34,87,66,5,16,12,2,21,24,75,14,71,62,39,89,69,86,52,92,27,1,13,9
23040060,1,93,72,38,67,92,51,0,71,85,22,65,5,24,7,51,91,47,27,31,80,50,64,58,71,95,4,90,87,70,49,29,35,36,51,67,69,76,50,6,92,89,75,92,31,24,18,33,100,49,56,32
23040070,100,59,10,4,93,87,100,42,4,38,11,28,55,60,41,44,85,99,69,81,84,85,27,94,8,88,40,43,48,59,54,80,83,89,87,83,97,38,100,42,7,28,41,33,60,16,69,22,63,85,72,81
23050070,0,9,3,69,19,51,34,18,68,75,52,80,62,1,92,92,48,62,31,16,99,48,7,57,15,42,91,47,97,4,64,33,73,29,3,18,59,90,46,46,27,77,86,72,76,52,18,86,99,92,70,26
23050080,0,73,52,79,35,72,71,70,13,79,96,83,24,12,7,32,11,14,52,62,50,55,58,85,65,27,68,10,37,42,26,7,37,54,58,61,40,67,9,83,90,79,21,8,88,16,88,40,43,46,19,42
23050100,100,90,2,74,90,29,20,5,28,89,45,45,37,43,70,85,63,69,72,2,88,8,95,0,50,48,45,44,40,67,72,74,30,43,13,97,90,30,84,25,24,20,70,7,54,83,23,2,32,70,63,64
23050230,100,29,43,9,52,6,43,74,50,81,46,97,77,83,8,79,90,32,12,23,9,29,55,49,0,34,85,64,7,95,88,23,79,21,34,89,28,34,37,67,16,87,36,70,5,58,0,68,97,17,13,26
23050250,100,7,8,88,67,57,97,64,91,100,86,55,66,7,40,91,68,19,36,39,68,1,2,88,10,71,19,42,2,25,24,65,41,48,37,55,68,100,50,55,22,7,4,3,0,21,37,16,37,2,80,56
23055040,100,61,73,36,81,23,90,29,45,20,54,3,30,71,50,53,72,83,25,92,34,2,23,65,5,35,26,79,55,74,88,59,81,14,92,5,99,11,15,8,58,98,54,40,41,61,47,98,38,81,0,48
23055070,100,27,27,5,59,35,67,68,34,84,90,53,20,59,6,7,88,61,100,70,69,39,86,46,56,79,64,18,63,99,97,80,49,1,18,21,34,35,31,44,54,43,79,1,62,85,82,7,1,16,69,89
